feature,weight,direction
women,-1.1535547792277698,female
husband,-0.664622717908389,female
college,-0.6150820755187968,female
earned,-0.6129841891640909,female
dissertation,-0.608727661158692,female
teaching,-0.6054258661954972,female
education,-0.5868418164469799,female
london,-0.5683727607423792,female
supervised,-0.5660678872247925,female
eniac,-0.5423280237788404,female
mathematics education,-0.5334056812110932,female
recognition,-0.5307565245511964,female
numerical,-0.5248371915766852,female
department,-0.5022435644567961,female
master,-0.4918265216333942,female
ph,-0.4916380379990368,female
film,-0.48191643549400054,female
daughters,-0.4652119356054047,female
models,-0.4507383141154764,female
street,-0.44749840294497567,female
theory,1.2294547525424784,male
pdf,0.7105025534263343,male
statistical,0.700259727489446,male
conjecture,0.6400927032644337,male
wife,0.6211052515334452,male
proved,0.5768726748404005,male
warsaw,0.5657455516268785,male
polish,0.5599495530636034,male
honorary,0.5498334880240999,male
göttingen,0.544114419448431,male
number,0.5427371106270613,male
theorem,0.5084270496958794,male
indian,0.501874919698217,male
isbn,0.4927825491177236,male
proof,0.47547484147103247,male
log,0.4669107154215463,male
cohomology,0.4661698335532927,male
lemma,0.4503735038415776,male
french,0.442424580479116,male
medal,0.4259765586134404,male
